Rank   ,Player                      ,P    ,W    ,D    ,L    ,  %      ,Teams
6270.  ,Bert Lithgow                ,9    ,4    ,0    ,5    ,44.44    ,CA
6271.  ,Arthur Smith                ,9    ,4    ,0    ,5    ,44.44    ,SY
6272.  ,Jack Gilbert                ,9    ,4    ,0    ,5    ,44.44    ,CA
6273.  ,Tristan Cartledge           ,9    ,4    ,0    ,5    ,44.44    ,ES/RI
6274.  ,Andrew Tarpey               ,9    ,4    ,0    ,5    ,44.44    ,CW
6275.  ,Graeme Williamson           ,9    ,4    ,0    ,5    ,44.44    ,FI
6276.  ,Stuart McKenzie             ,9    ,4    ,0    ,5    ,44.44    ,ME
6277.  ,Jan Smith                   ,9    ,4    ,0    ,5    ,44.44    ,GE/FI
6278.  ,Allan Harper                ,9    ,4    ,0    ,5    ,44.44    ,SK
6279.  ,Bruno Zorzi                 ,18   ,8    ,0    ,10   ,44.44    ,FI
6280.  ,Art Mietzcke                ,18   ,8    ,0    ,10   ,44.44    ,SY
6281.  ,George Woodman              ,18   ,8    ,0    ,10   ,44.44    ,WB
6282.  ,Horrie Bannister            ,18   ,8    ,0    ,10   ,44.44    ,SK/RI
6283.  ,Henry Wright                ,18   ,8    ,0    ,10   ,44.44    ,ME
6284.  ,Ben Ross                    ,18   ,8    ,0    ,10   ,44.44    ,NM/HW
6285.  ,Kevin McGuire               ,18   ,8    ,0    ,10   ,44.44    ,NM
6286.  ,Trevor Zeltner              ,18   ,8    ,0    ,10   ,44.44    ,WB
6287.  ,Harry Skreja                ,18   ,8    ,0    ,10   ,44.44    ,WB
6288.  ,Ron Wetzel                  ,18   ,8    ,0    ,10   ,44.44    ,SY
6289.  ,Ryan Fitzgerald             ,18   ,8    ,0    ,10   ,44.44    ,SY/AD
6290.  ,Chris Egan                  ,27   ,12   ,0    ,15   ,44.44    ,CW
6291.  ,Bob Standfield              ,27   ,12   ,0    ,15   ,44.44    ,ES/CA
6292.  ,Tim Barling                 ,27   ,12   ,0    ,15   ,44.44    ,RI/SY
6293.  ,Phil Evans                  ,27   ,12   ,0    ,15   ,44.44    ,GE
6294.  ,Frank Kennedy               ,36   ,16   ,0    ,20   ,44.44    ,ME
6295.  ,Andrew Siegert              ,36   ,16   ,0    ,20   ,44.44    ,FR
6296.  ,Dean Hartigan               ,36   ,16   ,0    ,20   ,44.44    ,ES
6297.  ,Laurie Rippon               ,45   ,20   ,0    ,25   ,44.44    ,WB
6298.  ,Andrew Eccles               ,54   ,24   ,0    ,30   ,44.44    ,AD/CA
6299.  ,John Lord                   ,54   ,23   ,2    ,29   ,44.44    ,ME/SK
6300.  ,Ben Fixter                  ,54   ,24   ,0    ,30   ,44.44    ,SY/BL
6301.  ,Athol Tymms                 ,63   ,27   ,2    ,34   ,44.44    ,ES/UN
6302.  ,Damian Drum                 ,63   ,28   ,0    ,35   ,44.44    ,GE
6303.  ,George Bisset               ,207  ,92   ,0    ,115  ,44.44    ,WB/CW
6304.  ,Mark Lee                    ,233  ,103  ,1    ,129  ,44.42    ,RI
6305.  ,Ken Beck                    ,143  ,63   ,1    ,79   ,44.41    ,HW
6306.  ,Hughie James                ,188  ,83   ,1    ,104  ,44.41    ,RI
6307.  ,Fred Green                  ,116  ,51   ,1    ,64   ,44.40    ,ES/SK
6308.  ,Bryce Gibbs                 ,187  ,82   ,2    ,103  ,44.39    ,CA
6309.  ,Bob Pascoe                  ,89   ,39   ,1    ,49   ,44.38    ,NM/SK
6310.  ,Bob Gazzard                 ,71   ,31   ,1    ,39   ,44.37    ,GE
6311.  ,Alex Ishchenko              ,142  ,63   ,0    ,79   ,44.37    ,WC/BB/NM
6312.  ,Robbie Gray                 ,133  ,59   ,0    ,74   ,44.36    ,PA
6313.  ,Warwick Capper              ,124  ,55   ,0    ,69   ,44.35    ,SY/BB
6314.  ,Tom Waye                    ,53   ,23   ,1    ,29   ,44.34    ,WB
6315.  ,Andrew Schauble             ,167  ,74   ,0    ,93   ,44.31    ,CW/SY
6316.  ,Tony Lockett                ,281  ,124  ,1    ,156  ,44.31    ,SK/SY
6317.  ,Jack Watt                   ,35   ,15   ,1    ,19   ,44.29    ,WB
6318.  ,Robert Rose                 ,35   ,15   ,1    ,19   ,44.29    ,CW/WB
6319.  ,Simon Godfrey               ,105  ,46   ,1    ,58   ,44.29    ,ME
